City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Puerto Ayora,-0.7393,-90.3518,85.96,86,79,5.99,EC,1684189489
81,Isabela,6.7085,121.9711,77.05,82,79,2.15,PH,1684189489
82,Bethel,41.3712,-73.414,75.0,31,0,9.22,US,1684189489
83,Talnakh,69.4865,88.3972,18.18,92,92,7.47,RU,1684189221
84,Anadyr,64.75,177.4833,21.7,79,0,8.95,RU,1684189453
85,Gebeit,21.0667,36.3167,81.25,28,0,3.71,SD,1684189490
86,Natal,-5.795,-35.2094,80.82,83,40,6.91,BR,1684189193
87,Apiaí,-24.5094,-48.8425,54.93,65,70,2.75,BR,1684189490
88,Auki,-8.7676,160.7034,82.81,77,86,0.34,SB,1684189490
89,Kodinsk,58.6881,99.1844,27.0,74,92,2.95,RU,1684189490
90,I-n-Salah,27.1935,2.4607,74.41,14,0,12.5,DZ,1684189491
91,Albany,42.6001,-73.9662,71.37,31,69,11.54,US,1684189391
92,Laguna,38.421,-121.4238,91.35,36,0,8.05,US,1684189384
93,San José del Cabo,23.0589,-109.6977,86.59,33,40,17.27,MX,1684189491
94,Uglegorsk,49.0833,142.0333,50.25,91,100,16.04,RU,1684189491
95,Kupang,-10.1667,123.5833,68.58,94,20,3.44,ID,1684189492
96,Mugumu,-1.85,34.7,59.13,93,19,3.33,TZ,1684189492
97,Nabulao,9.6616,122.4577,81.07,83,64,1.3,PH,1684189492
98,San Agustín de Valle Fértil,-30.6335,-67.4682,67.12,59,0,5.39,AR,1684189492
99,Nova Sintra,14.8667,-24.7167,68.32,80,10,20.24,CV,1684189492
100,Puerto Cabezas,14.0351,-83.3888,85.96,84,40,6.91,NI,1684189493
101,Fort St. John,56.2499,-120.8529,85.89,23,40,9.22,CA,1684189366
102,Ribeira Grande,38.5167,-28.7,65.77,94,85,5.99,PT,1684189091
103,Hermanus,-34.4187,19.2345,55.78,83,19,7.09,ZA,1684189493
104,East London,-33.0153,27.9116,58.53,81,0,4.52,ZA,1684189493
105,Tual,-5.6667,132.75,81.37,82,99,13.18,ID,1684189494
106,Minas de Marcona,-15.2119,-75.1103,63.64,73,12,12.08,PE,1684189494
107,Hamilton,39.1834,-84.5333,76.15,59,0,9.22,US,1684189374
108,Bazas,44.432,-0.2133,55.62,91,100,5.53,FR,1684189494
109,Kapuskasing,49.4169,-82.4331,68.0,40,100,10.36,CA,1684189494
110,Crane,31.3974,-102.3501,81.19,37,97,7.67,US,1684189495
111,Gadzhiyevo,69.2551,33.3362,46.53,78,40,12.48,RU,1684189495
112,Saint Paul Harbor,57.79,-152.4072,44.11,81,100,14.97,US,1684189362
113,Maun,-19.9833,23.4167,69.76,49,0,10.36,BW,1684189495
114,Swakopmund,-22.6833,14.5333,54.45,80,0,3.06,NA,1684189495
115,Praia da Vitória,38.7333,-27.0667,66.45,88,20,3.0,PT,1684189496
116,Afaahiti,-17.75,-149.2833,85.87,76,21,5.73,PF,1684189369
117,Pyhäjärvi,67.0701,27.2176,49.8,81,63,6.33,FI,1684189496
118,Bredasdorp,-34.5322,20.0403,53.01,88,14,1.57,ZA,1684189496
119,Teruel,40.6667,-0.6667,39.65,86,69,22.06,ES,1684189497
120,Bardai,11.65,7.2333,86.76,39,100,9.17,NG,1684189497
121,Tiksi,71.6872,128.8694,31.1,91,95,7.23,RU,1684189497
122,Ilomantsi,62.6716,30.9328,44.69,72,4,4.79,FI,1684189497
123,Puerto Baquerizo Moreno,-0.9,-89.6,81.59,74,75,9.22,EC,1684189497
124,Badger,64.8,-147.5333,64.65,28,75,14.97,US,1684189498
125,Mossendjo,-2.9506,12.7261,71.31,100,50,1.59,CG,1684189498
126,Margaret River,-33.95,115.0667,54.57,82,34,5.37,AU,1684189498
127,San Ignacio,17.1561,-89.0714,93.34,43,40,0.0,BZ,1684189498
128,Selfoss,63.9331,-20.9971,36.05,69,1,6.96,IS,1684189498
129,Malaya Vishera,58.8454,32.2222,49.91,70,29,5.84,RU,1684189222
130,Kristiansund,63.1115,7.732,48.25,81,100,2.3,NO,1684189499
131,Rasht,37.2808,49.5832,52.41,93,90,4.14,IR,1684189499
132,Papatowai,-46.5619,169.4708,43.63,67,7,7.05,NZ,1684189499
133,Saint-Philippe,-21.3585,55.7679,74.79,80,23,4.59,RE,1684189504
134,Olonkinbyen,70.9221,-8.7187,27.59,94,100,35.86,SJ,1684189099
135,Saint-Joseph,-21.3667,55.6167,73.78,83,30,3.56,RE,1684189505
136,Mount Isa,-20.7333,139.5,62.37,67,9,9.22,AU,1684189505
137,Billdal,57.5667,11.9333,55.15,79,62,5.99,SE,1684189365
138,Aykhal,66.0,111.5,26.15,91,74,3.22,RU,1684189505
139,Qui Nhon,13.7667,109.2333,79.0,87,98,3.62,VN,1684189506
140,Port Blair,11.6667,92.75,82.44,83,40,2.3,IN,1684189506
141,Portage la Prairie,49.9728,-98.2926,84.92,30,100,14.97,CA,1684189506
142,Cologne,50.9333,6.95,54.95,79,100,17.27,DE,1684189506
143,Blackfoot,43.1905,-112.345,76.05,36,98,12.26,US,1684189507
144,Pangody,65.85,74.4859,26.53,93,98,17.69,RU,1684189507
145,Sumbawa Besar,-8.5,117.4333,66.78,90,9,4.65,ID,1684189507
146,Lianyuan,27.6883,111.6642,71.6,83,91,2.3,CN,1684189507
147,Peniche,39.3558,-9.3811,61.29,88,86,20.24,PT,1684189412
148,Mugia,43.1041,-9.2179,58.15,74,100,18.68,ES,1684189508
149,Gizo Government Station,-8.103,156.8419,83.37,74,95,0.45,SB,1684189508
150,Amga,60.8953,131.9608,48.54,79,95,12.06,RU,1684189508
151,Rāmāpuram,13.1167,79.2,86.34,41,94,3.74,IN,1684189508
152,Khorugh,37.4897,71.553,52.97,46,75,3.22,TJ,1684189508
153,Cabo San Lucas,22.8909,-109.9124,86.61,50,20,11.5,MX,1684188932
154,Brvenica,41.9672,20.9808,56.75,94,71,1.32,MK,1684189509
155,Laojunmiao,39.8333,97.7333,52.07,48,100,3.62,CN,1684189509
156,Sandnessjøen,66.0217,12.6316,46.92,82,100,1.99,NO,1684189509
157,Saipan,15.1355,145.701,82.65,100,40,7.0,MP,1684189347
158,Egilsstadir,65.2653,-14.3948,30.11,64,75,9.22,IS,1684189510
159,Thunder Bay,48.4001,-89.3168,75.18,23,100,14.97,CA,1684189226
160,Aroma,15.8167,36.1333,93.61,10,0,13.27,SD,1684189510
161,Bārah,13.7,30.3667,85.68,10,0,12.66,SD,1684189331
162,Naryan-Mar,67.6713,53.087,32.2,98,74,4.38,RU,1684189511
163,Port Elizabeth,-33.918,25.5701,52.32,90,0,4.61,ZA,1684189101
164,Las Tablas,7.7667,-80.2833,79.18,99,100,4.76,PA,1684189511
165,North Battleford,52.7834,-108.2847,82.49,23,0,12.66,CA,1684189512
166,Tommot,58.9564,126.2925,36.54,100,100,1.28,RU,1684189512
167,Port Mathurin,-19.6833,63.4167,77.92,75,31,16.67,MU,1684189512
168,Timbuktu,16.7735,-3.0074,94.71,28,90,8.99,ML,1684189512
169,La Mira,18.035,-102.3266,87.87,48,0,10.31,MX,1684189512
170,Nova Viçosa,-17.8919,-39.3719,74.97,84,20,5.55,BR,1684189436
171,Bismarck,46.8083,-100.7837,76.86,35,0,8.05,US,1684189513
172,Port Pirie,-33.1833,138.0167,54.07,71,2,4.9,AU,1684189513
173,San Pedro Pochutla,15.7333,-96.4667,71.31,51,99,8.37,MX,1684189513
174,Xiaoweizhai,26.1903,107.5125,68.95,93,100,6.62,CN,1684189513
175,Qaqortoq,60.7167,-46.0333,41.0,67,97,10.8,GL,1684189087
176,Haiku-Pauwela,20.9219,-156.3051,78.82,50,40,19.57,US,1684189514
177,Lebu,-37.6167,-73.65,57.38,79,95,13.78,CL,1684189514
178,Bathsheba,13.2167,-59.5167,83.01,74,20,8.05,BB,1684189514
179,Quiberon,47.4841,-3.1196,53.08,67,0,5.99,FR,1684189515
180,Keflavik,64.0049,-22.5624,37.83,70,0,2.3,IS,1684189515
181,Vilyuchinsk,52.9306,158.4028,50.27,80,18,3.69,RU,1684189515
182,Grand Haven,43.0631,-86.2284,70.36,33,75,5.75,US,1684189515
183,Horta,38.5333,-28.6333,65.01,94,88,5.99,PT,1684189515
184,Peterhead,57.5058,-1.7981,48.6,80,40,8.01,GB,1684189516
185,Baley,51.6,116.6333,33.12,29,80,2.73,RU,1684189516
186,Preobrazheniye,42.9019,133.9064,53.37,91,65,2.98,RU,1684189516
187,Westport,41.1415,-73.3579,77.27,33,0,16.11,US,1684189516
188,Palafrugell,41.9174,3.1631,63.63,59,23,13.38,ES,1684189517
189,Ust'-Ilimsk,58.0006,102.6619,27.64,70,96,3.02,RU,1684189517
190,Polyarny,69.1989,33.4478,47.61,77,43,12.44,RU,1684189517
191,Wailua Homesteads,22.0669,-159.378,79.23,63,100,13.8,US,1684189100
192,Klyuchi,52.2667,79.1667,48.51,64,14,5.97,RU,1684189371
193,Acaraú,-2.8856,-40.12,79.97,85,5,13.06,BR,1684189518
194,Amos,48.5669,-78.1162,51.91,82,100,7.38,CA,1684189518
195,Newman,37.3138,-121.0208,92.23,29,0,8.01,US,1684189518
196,Mingora,34.7758,72.3625,66.76,43,98,8.25,PK,1684189278
197,Kokpekty,48.75,82.4,41.0,52,0,7.11,KZ,1684189518
198,Kidal,18.4411,1.4078,93.51,12,99,12.3,ML,1684189519
199,Kiunga,-6.1219,141.2906,72.88,99,100,2.33,PG,1684189391
200,Punta Arenas,-53.15,-70.9167,44.71,76,0,4.61,CL,1684188920
201,Alice Springs,-23.7,133.8833,44.15,100,40,6.29,AU,1684189519
202,Saint Anne,49.715,-2.2042,50.45,76,12,15.1,GG,1684189519
203,Kimamba,-6.7833,37.1333,68.72,96,34,0.96,TZ,1684189520
204,Babayurt,43.6002,46.7789,54.93,79,91,12.5,RU,1684189520
205,Andilamena,-17.0167,48.5833,61.88,97,25,2.84,MG,1684189520
206,Azzaba,36.7394,7.1053,54.1,81,1,9.15,DZ,1684189520
207,Tuburan,6.6439,122.2736,77.09,77,86,1.3,PH,1684189520
208,Usogorsk,63.4106,48.6872,50.11,79,71,4.07,RU,1684189521
209,Hammerfest,70.6634,23.6821,48.65,66,0,0.0,NO,1684189521
210,Nanao,37.05,136.9667,63.3,77,31,2.28,JP,1684189521
211,Constanța,44.1833,28.65,57.88,79,100,11.25,RO,1684189329
212,Dakhla,23.6848,-15.958,67.62,76,91,17.07,EH,1684189428
213,Holualoa,19.6228,-155.9522,79.56,73,40,13.8,US,1684189522
214,Gobernador Virasora,-28.05,-56.0333,66.04,78,0,2.95,AR,1684189522
